what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1452244867056
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1452244867056
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1452244867056
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1452244867072
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1452244867072
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1452244867072
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1452244867072
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1452244867103
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1452244867103
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1452244867103
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1452244867119
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1452244867134
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1452244867134
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1452244867134
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1452244867134
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1452244867150
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1452244867150
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1452244867150
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1452244867150
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1452244867166
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1452244867166
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1452244867166
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1452244867166
os,sysinfo,,,"win32",1452244867181
arch,sysinfo,,,"x86_64",1452244867181
ws,sysinfo,,,"win32",1452244867181
locale,sysinfo,,,"en_IN",1452244867181
processors,sysinfo,,,"4",1452244867181
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1452244867181
java.runtime.version,sysinfo,,,"1.8.0_20-b26",1452244867181
java.specification.name,sysinfo,,,"Java Platform API Specification",1452244867181
java.specification.vendor,sysinfo,,,"Oracle Corporation",1452244867181
java.specification.version,sysinfo,,,"1.8",1452244867181
java.vendor,sysinfo,,,"Oracle Corporation",1452244867181
java.version,sysinfo,,,"1.8.0_20",1452244867181
java.vm.info,sysinfo,,,"mixed mode",1452244867181
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1452244867181
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1452244867181
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1452244867181
java.vm.specification.version,sysinfo,,,"1.8",1452244867181
java.vm.vendor,sysinfo,,,"Oracle Corporation",1452244867181
java.vm.version,sysinfo,,,"25.20-b23",1452244867181
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1452244867228
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1452244867556
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1452244867619
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1452244867650
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1452244867728
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1452244868009
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1452244868197
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1452244868384
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1452244868431
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1452244868541
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1452244869400
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1452244869431
