what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1452248876581
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1452248878487
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1452248900277
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1452248941798
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452248946923
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1452248961889
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1452248970408
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452248976862
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452249092791
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452249125732
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452249130575
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1452249137294
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452249139185
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452249140546
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452249152415
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452249154093
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1452249191240
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1452249235667
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1452249241670
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1452249259095
